CATEGORY,SERIES,GEAR SUPPORT BEARING OD,GEAR SUPPORT BUSHING OD,GEAR SUPPORT BUSHING ID,NUMBER OF STUDS,STUD SIZE,FRONT ROLLER BEARING INSTALLED,FRONT ROLLER BEARING OD,SNAP RING INSTALLED ON FRONT BEARING,FRONT TAPERED BEARING WITH THREADED RETAINER INSTALLED,BACK COVER DIMENSION W1,BACK COVER DIMENSION W2 ,BACK COVER DIMENSION H,GEAR SET DIMENSION D,GEAER SET NUMBER OF TEETH,BEARING CARRIER DIMENSION W,THRUST PLATE DIMENSION W
BEARING,P15H,1.6,N/A,N/A,4,"1/2""",YES,2.4,YES,NO,3.375,5.25,5.25,2,14,2.5,0.38
BEARING,P37X,2.33,N/A,N/A,8,"1/2""",NO,N/A,NO,YES,5.25,7.31,7.31,2.79,12,3,0.5
BEARING,P25X,1.94,N/A,N/A,4,"5/8""",NO,N/A,NO,YES,4.94,6,6,2.39,10,2.88,0.38
BEARING,P20,1.69,N/A,N/A,4,"9/16""",YES,2,YES,NO,4.7,5,5,2.1,10,2.5,0.38
BEARING,P30-31,1.69,N/A,N/A,4,"5/8""",YES,2,YES,NO,4.81,5.38,5.38,2.1,10,2.5,0.38
BEARING,P50-51,1.94,N/A,N/A,4,"5/8""",YES,2.8,YES,NO,4.94,6,6,2.39,10,2.88,0.38
BEARING,P75-76,2.33,N/A,N/A,8,"5/8""",YES,3.15,YES,NO,6.13,7.88,7.88,3,10,3,0.5
BUSHING,P315,N/A,1,0.95,4,"1/2""",YES,2,YES,NO,4,4.24,4.31,1.76,12,2.62,0.4
BUSHING,P330,N/A,1.18,1.07,4,"5/8""",YES,2,YES,NO,4.8,6.88,5.38,2.1,10,3.5,0.25
BUSHING,P350,N/A,1.46,1.3,4,"5/8""",YES,2.8,YES,NO,5.75,7.12,6,2.4,10,3.5,0.25
BUSHING,P365,N/A,1.67,1.52,4,"5/8""",YES,3.15,YES,NO,6.25,7.38,7,2.74,9,4,0.25
